accession,start,stop,strand,geneID,locus,locus_tag,protein_product,length,protein_name
NW_007930840.1,1378896,1379906,-,19885725,,BBA_02713,XP_008596032.1,336,DUF1665 domain protein
NW_007930840.1,1380343,1384466,-,19885726,,BBA_02714,XP_008596033.1,1064,PhoD-like phosphatase
NW_007930840.1,1385546,1386720,+,19885727,,BBA_02715,XP_008596034.1,325,"Phosphogluconate dehydrogenase, NAD-binding, putative"
NW_007930840.1,1388480,1389490,-,19885728,,BBA_02716,XP_008596035.1,336,protein kinase subdomain-containing protein
NW_007930840.1,1390159,1390974,+,19885729,,BBA_02717,XP_008596036.1,210,emp24/gp25L/p24 family/GOLD
NW_007930836.1,221936,224429,-,19883088,,BBA_00076,XP_008593395.1,497,thiamin biosynthesis protein (Thi-4)
NW_007930836.1,225168,226320,+,19883089,,BBA_00077,XP_008593396.1,264,tat pathway signal sequence
NW_007930836.1,226883,227794,+,19883090,,BBA_00078,XP_008593397.1,232,hypothetical protein BBA_00078
NW_007930836.1,235076,236668,-,19883091,,BBA_00079,XP_008593398.1,530,LysR family regulatory protein
NW_007930836.1,237968,238498,-,19883092,,BBA_00080,XP_008593399.1,176,hypothetical protein BBA_00080
NW_007930836.1,238868,240350,-,19883093,,BBA_00081,XP_008593400.1,400,hypothetical protein BBA_00081
NW_007930836.1,241295,241921,+,19883094,,BBA_00082,XP_008593401.1,188,hypothetical protein BBA_00082
NW_007930836.1,244052,244462,+,19883095,,BBA_00083,XP_008593402.1,136,hypothetical protein BBA_00083
NW_007930836.1,245731,246768,+,19883096,,BBA_00084,XP_008593403.1,345,"Peptidase M64, IgA"
NW_007930836.1,247155,247886,-,19883097,,BBA_00085,XP_008593404.1,243,Orf2-like protein
NW_007930836.1,249116,250015,-,19883098,,BBA_00086,XP_008593405.1,248,hypothetical protein BBA_00086
NW_007930836.1,250501,251633,-,19883099,,BBA_00087,XP_008593406.1,296,hypothetical protein BBA_00087
NW_007930836.1,254907,257196,-,19883100,,BBA_00088,XP_008593407.1,604,C6 finger domain protein
NW_007930836.1,260154,260459,-,19883101,,BBA_00089,XP_008593408.1,101,hypothetical protein BBA_00089
NW_007930836.1,264531,266367,-,19883102,,BBA_00090,XP_008593409.1,572,aryl-alcohol oxidase/vanillyl-alcohol oxidase
NW_007930836.1,267128,270120,+,19883103,,BBA_00091,XP_008593410.1,700,15-hydroxyprostaglandin dehydrogenase (NAD(+))
NW_007930836.1,270462,271707,-,19883104,,BBA_00092,XP_008593411.1,394,hypothetical protein BBA_00092
NW_007930836.1,272643,273604,-,19883105,,BBA_00093,XP_008593412.1,301,methyltransferase domain-containing protein
NW_007930836.1,274311,275919,+,19883106,,BBA_00094,XP_008593413.1,456,major facilitator superfamily transporter
NW_007930836.1,277109,278999,+,19883107,,BBA_00095,XP_008593414.1,609,oxidoreductase molybdopterin binding domain-containing protein
NW_007930836.1,280245,282308,+,19883108,,BBA_00096,XP_008593415.1,537,hypothetical protein BBA_00096
NW_007930836.1,282613,283755,+,19883109,,BBA_00097,XP_008593416.1,316,3-hydroxyacyl-CoA dehyrogenase
NW_007930836.1,286081,287781,-,19883110,,BBA_00098,XP_008593417.1,471,major facilitator superfamily transporter
NW_007930836.1,291414,292137,-,19883111,,BBA_00099,XP_008593418.1,79,hypothetical protein BBA_00099
NW_007930836.1,294800,295566,+,19883112,,BBA_00100,XP_008593419.1,216,hypothetical protein BBA_00100
NW_007930836.1,297288,298034,+,19883113,,BBA_00101,XP_008593420.1,248,carbohydrate esterase family 4
NW_007930836.1,299134,299745,+,19883114,,BBA_00102,XP_008593421.1,203,ATP-binding protein
NW_007930836.1,300312,300997,-,19883115,,BBA_00103,XP_008593422.1,82,hypothetical protein BBA_00103
NW_007930836.1,303694,304524,-,19883116,,BBA_00104,XP_008593423.1,276,hypothetical protein BBA_00104
NW_007930836.1,310431,312301,+,19883117,,BBA_00105,XP_008593424.1,524,Putative Zn(II)2Cys6 transcription factor
NW_007930836.1,312370,314077,-,19883118,,BBA_00106,XP_008593425.1,552,WD domain-containing protein
NW_007930836.1,314300,317239,+,19883119,,BBA_00107,XP_008593426.1,979,helicase associated domain-containing protein
NW_007930836.1,318113,319339,+,19883120,,BBA_00108,XP_008593427.1,353,hypothetical protein BBA_00108
NW_007930836.1,320322,322014,-,19883121,,BBA_00109,XP_008593428.1,425,RfeD protein
NW_007930836.1,325534,326234,-,19883122,,BBA_00110,XP_008593429.1,214,hypothetical protein BBA_00110
NW_007930836.1,326717,327056,-,19883123,,BBA_00111,XP_008593430.1,98,hypothetical protein BBA_00111
NW_007930836.1,328097,328444,-,19883124,,BBA_00112,XP_008593431.1,115,hypothetical protein BBA_00112
NW_007930836.1,329006,329464,-,19883125,,BBA_00113,XP_008593432.1,152,hypothetical protein BBA_00113
NW_007930840.1,1391405,1393204,+,19885730,,BBA_02718,XP_008596037.1,599,SKIP/SNW domain-containing protein
NW_007930840.1,1394446,1394977,+,19885731,,BBA_02719,XP_008596038.1,98,hypothetical protein BBA_02719
NW_007930840.1,1396756,1398132,+,19885732,,BBA_02720,XP_008596039.1,375,glycoside hydrolase family 16 protein
NW_007930840.1,1398521,1400476,-,19885733,,BBA_02721,XP_008596040.1,427,HAD superfamily phosphatase
NW_007930840.1,1401725,1404135,+,19885734,,BBA_02722,XP_008596041.1,670,nitrate assimilation regulatory protein nirA
NW_007930840.1,1404458,1404777,+,19885735,,BBA_02723,XP_008596042.1,84,hypothetical protein BBA_02723
NW_007930840.1,1405562,1406974,+,19885736,,BBA_02724,XP_008596043.1,470,molybdopterin cofactor sulfurase
NW_007930840.1,1407616,1408743,+,19885737,,BBA_02725,XP_008596044.1,375,WW domain-containing oxidoreductase isoform 1
NW_007930840.1,1409257,1409682,+,19885738,,BBA_02726,XP_008596045.1,141,hypothetical protein BBA_02726
NW_007930840.1,1410117,1411319,-,19885739,,BBA_02727,XP_008596046.1,400,Chymotrypsin-like protein
NW_007930840.1,1413758,1414618,+,19885740,,BBA_02728,XP_008596047.1,286,hypothetical protein BBA_02728
NW_007930840.1,1417262,1419043,+,19885741,,BBA_02729,XP_008596048.1,571,origin recognition complex subunit 2
NW_007930840.1,1419264,1422038,-,19885742,,BBA_02730,XP_008596049.1,908,cytidylyltransferase-like protein
NW_007930840.1,1425952,1427729,+,19885743,,BBA_02731,XP_008596050.1,312,hypothetical protein BBA_02731
NW_007930840.1,1428055,1428619,-,19885744,,BBA_02732,XP_008596051.1,143,hypothetical protein BBA_02732
NW_007930840.1,1429777,1431702,+,19885745,,BBA_02733,XP_008596052.1,621,blood-brain barrier large neutral amino acid transporter
NW_007930840.1,1432200,1433868,-,19885746,,BBA_02734,XP_008596053.1,437,formate dehydrogenase
NW_007930840.1,1436424,1437704,-,19885747,,BBA_02735,XP_008596054.1,426,hypothetical protein BBA_02735
NW_007930840.1,1439666,1440385,+,19885748,,BBA_02736,XP_008596055.1,239,hypothetical protein BBA_02736
NW_007930840.1,1441435,1443226,+,19885749,,BBA_02737,XP_008596056.1,577,aminopeptidase I zinc metalloprotease
NW_007930840.1,1443615,1446992,-,19885750,,BBA_02738,XP_008596057.1,1075,EXS family protein
NW_007930840.1,1450268,1451271,+,19885751,,BBA_02739,XP_008596058.1,280,"exo-beta-1,3-glucanase"
NW_007930840.1,1451576,1452646,-,19885752,,BBA_02740,XP_008596059.1,356,"ankyrin 2,3/unc44"
NW_007930840.1,1453734,1455511,-,19885753,,BBA_02741,XP_008596060.1,542,GABA permease
NW_007930840.1,1456966,1458326,+,19885754,,BBA_02742,XP_008596061.1,394,hypothetical protein BBA_02742
NW_007930840.1,1459159,1461072,-,19885755,,BBA_02743,XP_008596062.1,637,F-box domain-containing protein
NW_007930840.1,1461863,1463729,-,19885756,,BBA_02744,XP_008596063.1,489,LysM domain-containing protein
NW_007930841.1,74,1253,-,19885757,,BBA_02745,XP_008596064.1,316,multidrug resistance protein 3
NW_007930841.1,2422,4677,+,19885758,,BBA_02746,XP_008596065.1,580,fungal specific transcription factor domain protein
NW_007930841.1,5420,7139,+,19885759,,BBA_02747,XP_008596066.1,530,Cytochrome P450 CYP682N1
NW_007930841.1,7328,8131,-,19885760,,BBA_02748,XP_008596067.1,267,StcQ-like protein
NW_007930841.1,8570,9367,+,19885761,,BBA_02749,XP_008596068.1,265,17beta-hydroxysteroid dehydrogenase
NW_007930841.1,9937,10510,-,19885762,,BBA_02750,XP_008596069.1,174,DUF1772 family protein
NW_007930841.1,10813,12522,+,19885763,,BBA_02751,XP_008596070.1,528,Cytochrome P450 CYP5282A1
NW_007930841.1,15315,17682,-,19885764,,BBA_02752,XP_008596071.1,718,"putative Heat-labile enterotoxin IIB, A chain"
NW_007930841.1,21788,22393,+,19885765,,BBA_02753,XP_008596072.1,201,hypothetical protein BBA_02753
NW_007930841.1,22534,26055,-,19885766,,BBA_02754,XP_008596073.1,1114,LysM domain-containing protein
NW_007930841.1,28019,30439,+,19885767,,BBA_02755,XP_008596074.1,754,VTC domain-containing protein
NW_007930836.1,331123,332403,+,19883126,,BBA_00114,XP_008593433.1,426,hypothetical protein BBA_00114
NW_007930836.1,332792,333941,-,19883127,,BBA_00115,XP_008593434.1,305,peflin-like protein
NW_007930836.1,335165,337271,+,19883128,,BBA_00116,XP_008593435.1,396,ChaC-like protein
NW_007930836.1,338056,339025,-,19883129,,BBA_00117,XP_008593436.1,181,RNA recognition domain-containing protein
NW_007930836.1,344673,345777,-,19883130,,BBA_00118,XP_008593437.1,308,HpcH/HpaI aldolase/citrate lyase family protein
NW_007930836.1,346837,347361,+,19883131,,BBA_00119,XP_008593438.1,144,golgi apparatus membrane protein TVP23
NW_007930836.1,347854,349183,-,19883132,,BBA_00120,XP_008593439.1,406,hypothetical protein BBA_00120
NW_007930836.1,351113,354688,-,19883133,,BBA_00121,XP_008593440.1,1191,transmembrane and coiled-coil domain-containing protein
