"gene_name","old_annotation","pfams","GOs"
"LOC112552847","LOW QUALITY PROTEIN: uncharacterized protein LOC112552847",NA,NA
"LOC105424545","uncharacterized protein LOC105424545",NA,NA
"LOC105433233","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase-like isoform X1","PF00387|Phosphatidylinositol-specific phospholipase C, Y domain; PF06631|Protein of unknown function (DUF1154); PF00168|C2 domain; PF00388|Phosphatidylinositol-specific phospholipase C, X domain; PF09279|Phosphoinositide-specific phospholipase C, efhand-like; PF17787|PH domain","GO:0004435|phosphatidylinositol phospholipase C activity; GO:0006629|lipid metabolic process; GO:0007165|signal transduction; GO:0035556|intracellular signal transduction"
"LOC105433233","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase-like isoform X2","PF00387|Phosphatidylinositol-specific phospholipase C, Y domain; PF06631|Protein of unknown function (DUF1154); PF00168|C2 domain; PF00388|Phosphatidylinositol-specific phospholipase C, X domain; PF09279|Phosphoinositide-specific phospholipase C, efhand-like; PF17787|PH domain","GO:0004435|phosphatidylinositol phospholipase C activity; GO:0006629|lipid metabolic process; GO:0007165|signal transduction; GO:0035556|intracellular signal transduction"
"LOC105433227","uncharacterized protein LOC105433227",NA,NA
"LOC105423608","vascular endothelial growth factor receptor 1-like, partial","PF07679|Immunoglobulin I-set domain",NA
"LOC105428693","uncharacterized protein LOC105428693","PF17919|RNase H-like domain found in reverse transcriptase",NA
"LOC112553104","uncharacterized protein LOC112553104","PF07727|Reverse transcriptase (RNA-dependent DNA polymerase)",NA
"LOC105424210","fatty acid synthase-like, partial","PF00109|Beta-ketoacyl synthase, N-terminal domain",NA
"LOC105424896","uncharacterized protein LOC105424896 isoform X2","PF05699|hAT family C-terminal dimerisation region","GO:0046983|protein dimerization activity"
"LOC105424896","uncharacterized protein LOC105424896 isoform X3","PF05699|hAT family C-terminal dimerisation region","GO:0046983|protein dimerization activity"
"LOC105424896","uncharacterized protein LOC105424896 isoform X1","PF05699|hAT family C-terminal dimerisation region","GO:0046983|protein dimerization activity"
"LOC105430332","uncharacterized protein LOC105430332",NA,NA
"LOC105427362","trichohyalin-like","PF00078|Reverse transcriptase (RNA-dependent DNA polymerase)",NA
"LOC105433940","phytanoyl-CoA dioxygenase, peroxisomal-like","PF05721|Phytanoyl-CoA dioxygenase (PhyH)",NA
"LOC105433930","UPF0454 protein C12orf49 homolog","PF10218|Uncharacterized conserved protein (DUF2054)","GO:2000640|positive regulation of SREBP signaling pathway"
"LOC105433944","uncharacterized protein LOC105433944",NA,NA
"LOC105434192","diacylglycerol kinase theta isoform X7","PF00609|Diacylglycerol kinase accessory domain; PF00788|Ras association (RalGDS/AF-6) domain; PF00781|Diacylglycerol kinase catalytic domain; PF00130|Phorbol esters/diacylglycerol binding domain (C1 domain)","GO:0004143|diacylglycerol kinase activity; GO:0007205|protein kinase C-activating G protein-coupled receptor signaling pathway; GO:0007165|signal transduction; GO:0016301|kinase activity; GO:0035556|intracellular signal transduction"
"LOC105434192","diacylglycerol kinase theta isoform X4","PF00609|Diacylglycerol kinase accessory domain; PF00788|Ras association (RalGDS/AF-6) domain; PF00781|Diacylglycerol kinase catalytic domain; PF00130|Phorbol esters/diacylglycerol binding domain (C1 domain)","GO:0004143|diacylglycerol kinase activity; GO:0007205|protein kinase C-activating G protein-coupled receptor signaling pathway; GO:0007165|signal transduction; GO:0016301|kinase activity; GO:0035556|intracellular signal transduction"
"LOC105434194","AP-1 complex subunit sigma-2 isoform X1","PF01217|Clathrin adaptor complex small chain",NA
"LOC105434194","AP-1 complex subunit sigma-2 isoform X2","PF01217|Clathrin adaptor complex small chain",NA
"LOC105434194","AP-1 complex subunit sigma-2 isoform X3","PF01217|Clathrin adaptor complex small chain",NA
"LOC105434196","uncharacterized protein LOC105434196","PF18701|Family of unknown function (DUF5641)",NA
"LOC105432365","venom carboxylesterase-6-like","PF00135|Carboxylesterase family",NA
"LOC105424513","uncharacterized protein LOC105424513","PF08257|Sulfakinin family",NA
"LOC105433415","ataxin-2 homolog, partial","PF07145|Ataxin-2 C-terminal region",NA
"LOC105433831","cytochrome P450 315a1, mitochondrial, partial","PF00067|Cytochrome P450","GO:0004497|monooxygenase activity; GO:0005506|iron ion binding; GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0020037|heme binding"
"LOC105423670","cytochrome P450 4C1-like, partial","PF00067|Cytochrome P450","GO:0004497|monooxygenase activity; GO:0005506|iron ion binding; GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0020037|heme binding"
"LOC105431751","general odorant-binding protein 19a, partial","PF01395|PBP/GOBP family","GO:0005549|odorant binding"
"LOC105431548","uncharacterized protein LOC105431548","PF01395|PBP/GOBP family","GO:0005549|odorant binding"
"LOC105431628","uncharacterized protein LOC105431628","PF01395|PBP/GOBP family","GO:0005549|odorant binding"
"LOC105431688","pheromone-binding protein Gp-9-like",NA,NA
"LOC105433525","uncharacterized protein LOC105433525, partial","PF01284|Membrane-associating domain","GO:0016020|membrane"
"LOC105422667","pheromone receptor transcription factor-like",NA,NA
"LOC105422676","uncharacterized protein F54H12.2-like",NA,NA
"LOC105422406","uncharacterized protein LOC105422406","PF13927|Immunoglobulin domain",NA
"LOC105422409","uncharacterized protein F54H12.2-like",NA,NA
"LOC105424790","cuticle protein 19-like, partial","PF00379|Insect cuticle protein",NA
"LOC105427046","cytochrome b-c1 complex subunit 10-like","PF08997|Ubiquinol-cytochrome C reductase complex, 6.4kD protein","GO:0005750|mitochondrial respiratory chain complex III; GO:0006122|mitochondrial electron transport, ubiquinol to cytochrome c"
"LOC105427068","afadin-like isoform X2","PF01843|DIL domain; PF00498|FHA domain; PF00788|Ras association (RalGDS/AF-6) domain; PF00595|PDZ domain","GO:0005515|protein binding; GO:0007165|signal transduction"
"LOC105427068","afadin-like isoform X1","PF01843|DIL domain; PF00498|FHA domain; PF00788|Ras association (RalGDS/AF-6) domain; PF00595|PDZ domain","GO:0005515|protein binding; GO:0007165|signal transduction"
"LOC105427319","uncharacterized protein DDB_G0286447-like, partial",NA,NA
"LOC105427113","uncharacterized protein LOC105427113","PF00188|Cysteine-rich secretory protein family",NA
"LOC105427102","60S ribosomal protein L31","PF01198|Ribosomal protein L31e","GO:0003735|structural constituent of ribosome; GO:0005840|ribosome; GO:0006412|translation"
"LOC105427102","60S ribosomal protein L31","PF01198|Ribosomal protein L31e","GO:0003735|structural constituent of ribosome; GO:0005840|ribosome; GO:0006412|translation"
"LOC105433517","protein henna-like, partial","PF00351|Biopterin-dependent aromatic amino acid hydroxylase","GO:0016714|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen"
"LOC105423675","uncharacterized protein LOC105423675, partial","PF03175|DNA polymerase type B, organellar and viral","GO:0000166|nucleotide binding; GO:0003677|DNA binding; GO:0003887|DNA-directed DNA polymerase activity; GO:0006260|DNA replication"
"LOC112553038","uncharacterized protein LOC112553038, partial",NA,NA
"LOC105433274","uncharacterized protein LOC105433274","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105433490","antifreeze protein Maxi-like","PF05335|Protein of unknown function (DUF745)",NA
"LOC105434313","succinate dehydrogenase","PF00890|FAD binding domain",NA
"LOC105422100","transient receptor potential cation channel protein painless","PF12796|Ankyrin repeats (3 copies); PF00520|Ion transport protein","GO:0005216|ion channel activity; GO:0006811|ion transport; GO:0016020|membrane; GO:0055085|transmembrane transport"
"LOC105433444","cyclin-dependent kinase 4-like","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433444","cyclin-dependent kinase 4-like","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433470","histidine triad nucleotide-binding protein 1","PF01230|HIT domain",NA
"LOC105433455","dihydrofolate reductase isoform X1","PF00186|Dihydrofolate reductase","GO:0004146|dihydrofolate reductase activity; GO:0046654|tetrahydrofolate biosynthetic process"
"LOC105433455","dihydrofolate reductase isoform X2","PF00186|Dihydrofolate reductase","GO:0004146|dihydrofolate reductase activity; GO:0046654|tetrahydrofolate biosynthetic process"
"LOC105424451","zinc finger protein rotund-like, partial","PF00096|Zinc finger, C2H2 type",NA
"LOC105424051","protein asteroid","PF12813|XPG domain containing",NA
"LOC105424051","protein asteroid","PF12813|XPG domain containing",NA
"LOC105424051","protein asteroid","PF12813|XPG domain containing",NA
"LOC105424051","protein asteroid","PF12813|XPG domain containing",NA
"LOC105423964","uncharacterized protein LOC105423964",NA,NA
"LOC105424294","LOW QUALITY PROTEIN: oxysterol-binding protein-related protein 8","PF00169|PH domain; PF01237|Oxysterol-binding protein","GO:0008289|lipid binding"
"LOC105424167","copper chaperone for superoxide dismutase-like isoform X1","PF00080|Copper/zinc superoxide dismutase (SODC)","GO:0006801|superoxide metabolic process; GO:0046872|metal ion binding"
"LOC105424167","copper chaperone for superoxide dismutase-like isoform X2","PF00080|Copper/zinc superoxide dismutase (SODC)","GO:0006801|superoxide metabolic process; GO:0046872|metal ion binding"
"LOC105424368","copper chaperone for superoxide dismutase-like, partial","PF00403|Heavy-metal-associated domain","GO:0046872|metal ion binding"
"LOC105424750","uncharacterized protein LOC105424750","PF14223|gag-polypeptide of LTR copia-type; PF13961|Domain of unknown function (DUF4219)",NA
"LOC105424760","uncharacterized protein LOC105424760",NA,NA
"LOC105430111","uncharacterized protein DDB_G0284459-like isoform X1",NA,NA
"LOC105430111","uncharacterized protein DDB_G0284459-like isoform X3",NA,NA
"LOC105430111","uncharacterized protein DDB_G0284459-like isoform X2",NA,NA
"LOC105432722","titin-like",NA,NA
"LOC112552320","LOW QUALITY PROTEIN: uncharacterized protein LOC112552320, partial",NA,NA
"LOC105422908","putative nuclease HARBI1","PF13359|DDE superfamily endonuclease",NA
"LOC105423067","aminopeptidase M1-like, partial","PF01433|Peptidase family M1 domain","GO:0008237|metallopeptidase activity; GO:0008270|zinc ion binding"
"LOC112552308","aminopeptidase N-like isoform X2","PF01433|Peptidase family M1 domain","GO:0008237|metallopeptidase activity; GO:0008270|zinc ion binding"
"LOC112552308","aminopeptidase N-like isoform X1","PF01433|Peptidase family M1 domain","GO:0008237|metallopeptidase activity; GO:0008270|zinc ion binding"
"LOC105422993","myb-like protein AA",NA,NA
"LOC105422993","myb-like protein AA",NA,NA
"LOC105423077","uncharacterized protein LOC105423077 isoform X1","PF09995|Uncharacterized protein conserved in bacteria (DUF2236)","GO:0016491|oxidoreductase activity"
"LOC105423027","serine palmitoyltransferase 2","PF00155|Aminotransferase class I and II","GO:0009058|biosynthetic process; GO:0030170|pyridoxal phosphate binding"
"LOC105423022","putative gustatory receptor 28b","PF08395|7tm Chemosensory receptor","GO:0016021|integral component of membrane; GO:0050909|sensory perception of taste"
"LOC105423028","uncharacterized protein LOC105423028",NA,NA
"LOC105423023","LOW QUALITY PROTEIN: autophagy-related protein 13 homolog","PF10033|Autophagy-related protein 13","GO:0006914|autophagy; GO:1990316|Atg1/ULK1 kinase complex"
"LOC112552369","uncharacterized protein LOC112552369",NA,NA
"LOC105423687","probable glutamine--tRNA ligase","PF04558|Glutaminyl-tRNA synthetase, non-specific RNA binding region part 1; PF03950|tRNA synthetases class I (E and Q), anti-codon binding domain; PF04557|Glutaminyl-tRNA synthetase, non-specific RNA binding region part 2; PF00749|tRNA synthetases class I (E and Q), catalytic domain","GO:0000166|nucleotide binding; GO:0004812|aminoacyl-tRNA ligase activity; GO:0005524|ATP binding; GO:0005737|cytoplasm; GO:0006418|tRNA aminoacylation for protein translation; GO:0000166|nucleotide binding; GO:0004819|glutamine-tRNA ligase activity; GO:0005524|ATP binding; GO:0005737|cytoplasm; GO:0006425|glutaminyl-tRNA aminoacylation; GO:0004812|aminoacyl-tRNA ligase activity; GO:0005524|ATP binding; GO:0043039|tRNA aminoacylation"
"LOC105423686","parkin coregulated gene protein homolog","PF10274|Parkin co-regulated protein",NA
"LOC105423689","DNA-directed RNA polymerase III subunit RPC1 isoform X2","PF04997|RNA polymerase Rpb1, domain 1; PF05000|RNA polymerase Rpb1, domain 4; PF04983|RNA polymerase Rpb1, domain 3; PF04998|RNA polymerase Rpb1, domain 5; PF00623|RNA polymerase Rpb1, domain 2","GO:0003677|DNA binding; GO:0003899|DNA-directed 5'-3' RNA polymerase activity; GO:0006351|transcription, DNA-templated"
"LOC105423689","DNA-directed RNA polymerase III subunit RPC1 isoform X1","PF04997|RNA polymerase Rpb1, domain 1; PF05000|RNA polymerase Rpb1, domain 4; PF04983|RNA polymerase Rpb1, domain 3; PF04998|RNA polymerase Rpb1, domain 5; PF00623|RNA polymerase Rpb1, domain 2","GO:0003677|DNA binding; GO:0003899|DNA-directed 5'-3' RNA polymerase activity; GO:0006351|transcription, DNA-templated"
"LOC105423689","DNA-directed RNA polymerase III subunit RPC1 isoform X1","PF04997|RNA polymerase Rpb1, domain 1; PF05000|RNA polymerase Rpb1, domain 4; PF04983|RNA polymerase Rpb1, domain 3; PF04998|RNA polymerase Rpb1, domain 5; PF00623|RNA polymerase Rpb1, domain 2","GO:0003677|DNA binding; GO:0003899|DNA-directed 5'-3' RNA polymerase activity; GO:0006351|transcription, DNA-templated"
"LOC105423689","DNA-directed RNA polymerase III subunit RPC1 isoform X1","PF04997|RNA polymerase Rpb1, domain 1; PF05000|RNA polymerase Rpb1, domain 4; PF04983|RNA polymerase Rpb1, domain 3; PF04998|RNA polymerase Rpb1, domain 5; PF00623|RNA polymerase Rpb1, domain 2","GO:0003677|DNA binding; GO:0003899|DNA-directed 5'-3' RNA polymerase activity; GO:0006351|transcription, DNA-templated"
"LOC105423689","DNA-directed RNA polymerase III subunit RPC1 isoform X3","PF04997|RNA polymerase Rpb1, domain 1; PF05000|RNA polymerase Rpb1, domain 4; PF04983|RNA polymerase Rpb1, domain 3; PF04998|RNA polymerase Rpb1, domain 5; PF00623|RNA polymerase Rpb1, domain 2","GO:0003677|DNA binding; GO:0003899|DNA-directed 5'-3' RNA polymerase activity; GO:0006351|transcription, DNA-templated"
"LOC105423691","replication factor C subunit 1, partial","PF00533|BRCA1 C Terminus (BRCT) domain; PF00004|ATPase family associated with various cellular activities (AAA); PF08519|Replication factor RFC1 C terminal domain","GO:0005524|ATP binding; GO:0016887|ATPase activity; GO:0003689|DNA clamp loader activity; GO:0005524|ATP binding; GO:0005663|DNA replication factor C complex; GO:0006260|DNA replication"
"LOC105423690","angiotensin-converting enzyme-like","PF01401|Angiotensin-converting enzyme","GO:0006508|proteolysis; GO:0008237|metallopeptidase activity; GO:0008241|peptidyl-dipeptidase activity; GO:0016020|membrane"
"LOC105423692","actin-5, muscle-specific","PF00022|Actin",NA
"LOC105423694","actin-5, muscle-specific","PF00022|Actin",NA
"LOC105423695","actin, muscle","PF00022|Actin",NA
"LOC105423696","uncharacterized protein LOC105423696 isoform X1","PF02194|PXA domain",NA
"LOC105423696","uncharacterized protein LOC105423696 isoform X2","PF02194|PXA domain",NA
"LOC105423697","26S proteasome complex subunit SEM1","PF05160|DSS1/SEM1 family","GO:0006406|mRNA export from nucleus; GO:0008541|proteasome regulatory particle, lid subcomplex; GO:0043248|proteasome assembly"
"LOC105422773","LOW QUALITY PROTEIN: transcriptional enhancer factor TEF-1","PF17725|YAP binding domain; PF01285|TEA/ATTS domain","GO:0003700|DNA-binding transcription factor activity; GO:0006355|regulation of transcription, DNA-templated"
"LOC105422746","arginine--tRNA ligase, cytoplasmic","PF00750|tRNA synthetases class I (R); PF03485|Arginyl tRNA synthetase N terminal domain; PF05746|DALR anticodon binding domain","GO:0000166|nucleotide binding; GO:0004814|arginine-tRNA ligase activity; GO:0005524|ATP binding; GO:0005737|cytoplasm; GO:0006420|arginyl-tRNA aminoacylation; GO:0004814|arginine-tRNA ligase activity; GO:0005524|ATP binding; GO:0006420|arginyl-tRNA aminoacylation"
"LOC105422752","ATP-dependent helicase brm isoform X2","PF08880|QLQ; PF07533|BRK domain; PF00271|Helicase conserved C-terminal domain; PF07529|HSA; PF00176|SNF2 family N-terminal domain; PF14619|Snf2-ATP coupling, chromatin remodelling complex; PF00439|Bromodomain","GO:0005524|ATP binding; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated; GO:0005515|protein binding; GO:0005524|ATP binding; GO:0070615|ATP-dependent chromatin remodeler activity; GO:0042393|histone binding"
"LOC105422752","ATP-dependent helicase brm isoform X1","PF08880|QLQ; PF07533|BRK domain; PF00271|Helicase conserved C-terminal domain; PF07529|HSA; PF00176|SNF2 family N-terminal domain; PF14619|Snf2-ATP coupling, chromatin remodelling complex; PF00439|Bromodomain","GO:0005524|ATP binding; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated; GO:0005515|protein binding; GO:0005524|ATP binding; GO:0070615|ATP-dependent chromatin remodeler activity; GO:0042393|histone binding"
"LOC105422751","inositol monophosphatase 1-like isoform X1","PF00459|Inositol monophosphatase family","GO:0046855|inositol phosphate dephosphorylation"
"LOC105422751","inositol monophosphatase 2-like isoform X2","PF00459|Inositol monophosphatase family","GO:0046855|inositol phosphate dephosphorylation"
"LOC105422750","inositol monophosphatase 2-like","PF00459|Inositol monophosphatase family","GO:0046855|inositol phosphate dephosphorylation"
"LOC105422749","inositol-phosphate phosphatase-like isoform X1","PF00459|Inositol monophosphatase family","GO:0046855|inositol phosphate dephosphorylation"
"LOC105422749","inositol-phosphate phosphatase-like isoform X2","PF00459|Inositol monophosphatase family","GO:0046855|inositol phosphate dephosphorylation"
"LOC105422748","inositol monophosphatase 2-like","PF00459|Inositol monophosphatase family","GO:0046855|inositol phosphate dephosphorylation"
"LOC105422753","NADH dehydrogenase","PF05821|NADH-ubiquinone oxidoreductase ASHI subunit (CI-ASHI or NDUFB8)","GO:0005739|mitochondrion"
"LOC105422754","guanine nucleotide-releasing factor 2 isoform X6","PF00618|RasGEF N-terminal motif; PF00617|RasGEF domain","GO:0005085|guanyl-nucleotide exchange factor activity; GO:0007264|small GTPase mediated signal transduction"
"LOC105422754","guanine nucleotide-releasing factor 2 isoform X2","PF00618|RasGEF N-terminal motif; PF00617|RasGEF domain","GO:0005085|guanyl-nucleotide exchange factor activity; GO:0007264|small GTPase mediated signal transduction"
"LOC105422754","guanine nucleotide-releasing factor 2 isoform X8","PF00618|RasGEF N-terminal motif; PF00617|RasGEF domain","GO:0005085|guanyl-nucleotide exchange factor activity; GO:0007264|small GTPase mediated signal transduction"
"LOC105422754","guanine nucleotide-releasing factor 2 isoform X5","PF00618|RasGEF N-terminal motif; PF00617|RasGEF domain","GO:0005085|guanyl-nucleotide exchange factor activity; GO:0007264|small GTPase mediated signal transduction"
"LOC105422754","guanine nucleotide-releasing factor 2 isoform X3","PF00618|RasGEF N-terminal motif; PF00617|RasGEF domain","GO:0005085|guanyl-nucleotide exchange factor activity; GO:0007264|small GTPase mediated signal transduction"
"LOC105422754","guanine nucleotide-releasing factor 2 isoform X4","PF00618|RasGEF N-terminal motif; PF00617|RasGEF domain","GO:0005085|guanyl-nucleotide exchange factor activity; GO:0007264|small GTPase mediated signal transduction"
"LOC105422754","guanine nucleotide-releasing factor 2 isoform X1","PF00618|RasGEF N-terminal motif; PF00617|RasGEF domain","GO:0005085|guanyl-nucleotide exchange factor activity; GO:0007264|small GTPase mediated signal transduction"
"LOC105422754","guanine nucleotide-releasing factor 2 isoform X7","PF00618|RasGEF N-terminal motif; PF00617|RasGEF domain","GO:0005085|guanyl-nucleotide exchange factor activity; GO:0007264|small GTPase mediated signal transduction"
"LOC105422755","leucine-rich repeat-containing protein 57","PF13855|Leucine rich repeat; PF12799|Leucine Rich repeats (2 copies)","GO:0005515|protein binding"
"LOC105422756","uncharacterized protein LOC105422756","PF00628|PHD-finger; PF14061|Polycomb-like MTF2 factor 2",NA
"LOC105422756","uncharacterized protein LOC105422756","PF00628|PHD-finger; PF14061|Polycomb-like MTF2 factor 2",NA
"LOC105422756","uncharacterized protein LOC105422756","PF00628|PHD-finger; PF14061|Polycomb-like MTF2 factor 2",NA
"LOC105422756","uncharacterized protein LOC105422756","PF00628|PHD-finger; PF14061|Polycomb-like MTF2 factor 2",NA
"LOC105422757","sphingosine kinase 2","PF00781|Diacylglycerol kinase catalytic domain","GO:0016301|kinase activity"
"LOC105422759","protein sel-1 homolog 1","PF08238|Sel1 repeat",NA
"LOC105422758","structural maintenance of chromosomes protein 6",NA,NA
"LOC105422761","PI-PLC X domain-containing protein 3",NA,NA
"LOC105422762","coiled-coil domain-containing protein 47-like isoform X2","PF07946|Protein of unknown function (DUF1682)","GO:0005509|calcium ion binding; GO:0005783|endoplasmic reticulum; GO:0032469|endoplasmic reticulum calcium ion homeostasis; GO:0036503|ERAD pathway"
"LOC105422762","coiled-coil domain-containing protein 47-like isoform X2","PF07946|Protein of unknown function (DUF1682)","GO:0005509|calcium ion binding; GO:0005783|endoplasmic reticulum; GO:0032469|endoplasmic reticulum calcium ion homeostasis; GO:0036503|ERAD pathway"
"LOC105422762","coiled-coil domain-containing protein 47-like isoform X2","PF07946|Protein of unknown function (DUF1682)","GO:0005509|calcium ion binding; GO:0005783|endoplasmic reticulum; GO:0032469|endoplasmic reticulum calcium ion homeostasis; GO:0036503|ERAD pathway"
"LOC105422762","coiled-coil domain-containing protein 47-like isoform X2","PF07946|Protein of unknown function (DUF1682)","GO:0005509|calcium ion binding; GO:0005783|endoplasmic reticulum; GO:0032469|endoplasmic reticulum calcium ion homeostasis; GO:0036503|ERAD pathway"
"LOC105422763","kinesin-like protein KIF3B","PF00225|Kinesin motor domain","GO:0005524|ATP binding; GO:0007018|microtubule-based movement; GO:0008017|microtubule binding; GO:1990939|microtubule motor activity"
"LOC105422763","kinesin-like protein KIF3B","PF00225|Kinesin motor domain","GO:0005524|ATP binding; GO:0007018|microtubule-based movement; GO:0008017|microtubule binding; GO:1990939|microtubule motor activity"
"LOC105422762","uncharacterized protein CG7065-like isoform X1","PF07946|Protein of unknown function (DUF1682)","GO:0005509|calcium ion binding; GO:0005783|endoplasmic reticulum; GO:0032469|endoplasmic reticulum calcium ion homeostasis; GO:0036503|ERAD pathway"
"LOC105422765","uncharacterized protein LOC105422765 isoform X1","PF00431|CUB domain",NA
"LOC105422765","uncharacterized protein LOC105422765 isoform X2","PF00431|CUB domain",NA
"LOC105422766","LOW QUALITY PROTEIN: potassium voltage-gated channel protein Shaw","PF02214|BTB/POZ domain; PF00520|Ion transport protein","GO:0051260|protein homooligomerization; GO:0005216|ion channel activity; GO:0006811|ion transport; GO:0016020|membrane; GO:0055085|transmembrane transport"
"LOC105422768","LOW QUALITY PROTEIN: uncharacterized protein LOC105422768","PF00595|PDZ domain; PF00169|PH domain","GO:0005515|protein binding"
"LOC105422770","protein bowel","PF00096|Zinc finger, C2H2 type",NA
"LOC105422770","protein bowel","PF00096|Zinc finger, C2H2 type",NA
"LOC105422770","protein bowel","PF00096|Zinc finger, C2H2 type",NA
"LOC105422772","protein drumstick","PF00096|Zinc finger, C2H2 type",NA
"LOC105423823","low-density lipoprotein receptor-related protein 12-like",NA,NA
"LOC105423825","uncharacterized protein LOC105423825",NA,NA
"LOC105423824","uncharacterized protein LOC105423824","PF00098|Zinc knuckle","GO:0003676|nucleic acid binding; GO:0008270|zinc ion binding"
"LOC105423538","uncharacterized protein LOC105423538 isoform X1",NA,NA
"LOC105423538","uncharacterized protein LOC105423538 isoform X2",NA,NA
"LOC105423539","ADP-ribosylation factor-binding protein GGA3-like","PF18308|GGA N-GAT domain; PF00790|VHS domain; PF03127|GAT domain","GO:0035091|phosphatidylinositol binding; GO:0043130|ubiquitin binding"
"LOC105423539","ADP-ribosylation factor-binding protein GGA3-like","PF18308|GGA N-GAT domain; PF00790|VHS domain; PF03127|GAT domain","GO:0035091|phosphatidylinositol binding; GO:0043130|ubiquitin binding"
"LOC105423540","target of rapamycin complex subunit lst8","PF00400|WD domain, G-beta repeat","GO:0005515|protein binding"
"LOC105423077","uncharacterized protein LOC105423077 isoform X2","PF09995|Uncharacterized protein conserved in bacteria (DUF2236)","GO:0016491|oxidoreductase activity"
"LOC105423007","peripherin-2-like isoform X1","PF00335|Tetraspanin family","GO:0016021|integral component of membrane"
"LOC105423007","uncharacterized protein LOC105423007 isoform X2","PF00335|Tetraspanin family","GO:0016021|integral component of membrane"
"LOC105423048","UPF0676 protein C1494.01-like isoform X1","PF03171|2OG-Fe(II) oxygenase superfamily; PF14226|non-haem dioxygenase in morphine synthesis N-terminal",NA
"LOC105423048","2-oxoglutarate-dependent dioxygenase htyE-like isoform X2","PF03171|2OG-Fe(II) oxygenase superfamily; PF14226|non-haem dioxygenase in morphine synthesis N-terminal",NA
"LOC105423025","translation initiation factor IF-2, mitochondrial isoform X3","PF00009|Elongation factor Tu GTP binding domain; PF11987|Translation-initiation factor 2","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105423025","translation initiation factor IF-2, mitochondrial isoform X2","PF00009|Elongation factor Tu GTP binding domain; PF11987|Translation-initiation factor 2","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105423025","translation initiation factor IF-2, mitochondrial isoform X4","PF00009|Elongation factor Tu GTP binding domain; PF11987|Translation-initiation factor 2","GO:0003924|GTPase activity; GO:0005525|GTP binding"
